Borough_Name,Venue_Name,Venue_Category_Name,Venue_Location,Venue_Latitude,Venue_Longitude
Покровское-Стрешнево,СДМ Фитнес,Gym / Fitness Center,"Волоколамское шоссе, 73",55.824639703829654,37.42921606241106
Сокол,Спортивный клуб «Синергия» / Synergy Gym,Martial Arts Dojo,"Ленинградский просп., 80, корп. 1, 125190",55.810450522709296,37.50773328084761
Сокол,Спорткомплекс МАИ Черепаха,Gym,"Волоколамское ш., 4, корп. 12, 125310",55.80933776039921,37.49953936353182
Аэропорт,Busido,Martial Arts Dojo,Россия,55.79981479369154,37.54360881743399
Аэропорт,Yogazall,Yoga Studio,Россия,55.80137526169055,37.55479856522562
Савёловский,СДЮСШОР №25,Martial Arts Dojo,"Вятская ул., 28 (2-я Квесисская ул.), 127015",55.79579584639779,37.58238872085818
Соколиная Гора,OriGym,Gymnastics Gym,"ш. Энтузиастов, 31/1",55.76246903175785,37.74858536317553
Новогиреево,Атлетик,Gym,Россия,55.745882088532746,37.82288189774659
Новогиреево,Мой Фитнес Клуб,Gym,"Фрязевская д.9 к.1, город Москва",55.74599561112916,37.82219768411427
Новокосино,Fitform,Gym,"9 улица Суздальская, 111672",55.742251631126344,37.84752665511489
Новокосино,Спортив,Gym / Fitness Center,Ул Городецкая 8а,55.73909005257179,37.86511099023458
