Borough_Name,District_Name,Borough_Type,OKATO_Borough_Code,OKTMO_District_Code,Borough_Area,Borough_Population,Borough_Population_Density,Borough_Housing_Area,Borough_Housing_Area_Per_Person,Latitude,Longitude,Borough_Housing_Price
Филёвский Парк,ЗАО,Муниципальный округ,45268595,45328000,9.62,94787,9853,1605.9,19.9,55.739456499999996,37.483422499999996,224957.0
Фили-Давыдково,ЗАО,Муниципальный округ,45268597,45329000,6.96,115273,16562,2388.6,21.3,55.733370900000004,37.45843633024383,222529.0
Хамовники,ЦАО,Муниципальный округ,45286590,45383000,10.08,109451,10858,2559.6,24.8,55.74409839999999,37.583061,425741.0
Ховрино,САО,Муниципальный округ,45277595,45347000,5.73,89094,15548,2450.2,30.2,55.878132799999996,37.4807583,159745.0
Хорошёво-Мнёвники,СЗАО,Муниципальный округ,45283582,45371000,17.18,174834,10176,2918.0,17.8,55.7771463,37.5074052,210645.0
Хорошёвский,САО,Муниципальный округ,45277598,45348000,9.88,72732,7361,2182.0,38.2,55.7744834,37.532850399999994,260203.0
Царицыно,ЮАО,Муниципальный округ,45296590,45923000,8.43,129318,15340,1836.9,14.9,55.6214833,37.669250399999996,125874.0
Черёмушки,ЮЗАО,Муниципальный округ,45293590,45908000,5.52,110948,20099,1656.7,16.3,55.663540299999994,37.5610662,213025.0
Чертаново Северное,ЮАО,Муниципальный округ,45296593,45924000,5.4,114653,21232,1899.5,17.2,55.6330775,37.6052365,180547.0
Чертаново Центральное,ЮАО,Муниципальный округ,45296595,45925000,6.52,117308,17992,2907.0,26.0,55.61223520000001,37.58917520000001,160577.0
Чертаново Южное,ЮАО,Муниципальный округ,45296597,45926000,9.38,151899,16193,2192.8,15.4,55.6006196,37.5898249,134332.0
Щукино,СЗАО,Муниципальный округ,45283587,45372000,7.69,111673,14521,2062.0,20.1,55.8096914,37.4534955,233545.0
Южное Бутово,ЮЗАО,Муниципальный округ,45293594,45909000,25.54,210783,8253,4195.0,23.4,55.535162,37.527696,153873.0
Южное Медведково,СВАО,Муниципальный округ,45280594,45364000,3.88,85867,22130,1355.3,16.3,55.8716961,37.6378787,155965.0
Южное Тушино,СЗАО,Муниципальный округ,45283593,45373000,7.94,109708,13817,1714.9,16.9,55.8501172,37.4113336,162854.0
Южнопортовый,ЮВАО,Муниципальный округ,45290594,45396000,4.53,74841,16521,1449.0,20.6,55.719603500000005,37.673618700000006,190357.0
Якиманка,ЦАО,Муниципальный округ,45286596,45384000,4.8,27911,5814,788.7,29.8,55.725791099999995,37.6076001,404471.0
Ярославский,СВАО,Муниципальный округ,45280597,45365000,7.99,98272,12299,1404.5,15.3,55.886066500000005,37.7188216,159241.0
Ясенево,ЮЗАО,Муниципальный округ,45293598,45910000,25.37,178264,7026,2969.3,16.4,55.6062621,37.533747600000005,166852.0
